row_number,member,weight,distributed,vesting,total
1,0xeb34bd135afc3054667ca74c9d19fbcd7d05f79f,0.012337,30432.989249067883,25910.71282641129,56343.702075479174
2,chfast.eth (0x9bee5b17eb847744b6a81ee935409739f91c722c),0.012161,164410.76366886636,25541.069845342277,189951.83351420864
3,0x6591e7d655f248f6930195385c36b8d5af679b8b,0.012161,164321.79893870984,25541.069845342277,189862.86878405212
4,0x974b9cb3c122561e3bf6234651e0b82b88fb9015,0.011923,161040.0189913157,25041.211723214863,186081.23071453057
5,0xe9f19b6c72219f9b12c9c367405a90ac9afb2241,0.011494,154688.95396825112,24140.206956859154,178829.16092511028
6,0x497f0d190c513f51eac234628200a5e62271a7a5,0.010718,142869.11660462504,22510.417449418514,165379.53405404356
7,0x8b49fb41e0df3ea3d01ad9d06501bb5a2257ccb0,0.010446,25681.305412456153,21939.151024130042,47620.456436586195
8,0x797aba41fd90740a2ca970d6706af05ade09335b,0.010377,122596.94561703596,21794.234173597306,144391.17979063326
9,0xbb3f2f946e8ee2912830e365cf241293636cb057,0.010308,136713.02735503775,21649.317323064566,158362.34467810232
10,pipermerriam.eth (0xdf6c53df56f3992fc44195518a2d8b16306af9ff),0.010308,136713.02735503775,21649.317323064566,158362.34467810232
11,0xbfbeab0896e29d0db26ad60278d3ab3c482bb199,0.010168,134888.60423734548,21355.283133577854,156243.88737092333
12,0x299cb850bd75c07ef89978bdc52e062cc4fa0250,0.010168,134598.45587741106,21355.283133577854,155953.7390109889
14,0x8cbf722adfbc071a12aae158a12a68397578017c,0.010097,133820.527650435,21206.165794623877,155026.69344505886
13,0xe019836a41cb707f79b991f60e241918097ac16e,0.010097,133820.527650435,21206.165794623877,155026.69344505886
15,0xf51fc4c6ab075482b61f5c1d4e72fadaff8815f3,0.010026,131733.3257718161,21057.0484556699,152790.374227486
16,mjsaylor.eth (0x3b16821a5dbbff86e4a88ea0621ec6be016cd79a),0.009954,131660.64352189694,20905.830872505303,152566.47439440223
19,0x9f60e4af6020cc6a791b2d1ce9902d25a72ba824,0.009808,129465.39132658289,20599.195217754877,150064.58654433777
17,0x5973d1af5c13168bdc85c6e78309272815995ffb,0.009808,129166.25363520824,20599.195217754877,149765.4488529631
18,0x376d5c3a16e9d015e8c584bb2d278e25f0ccb27b,0.009808,129166.25363520824,20599.195217754877,149765.4488529631
20,nishantdas.eth (0x6ffd2248ab7e80ef51d7eb4cb60964c830125567),0.009735,128048.12278392009,20445.877390379665,148494.00017429976
21,0x3212974a4e53e5238f6ea193b36412db9ad61c26,0.009735,128048.12278392009,20445.877390379665,148494.00017429976
22,0x00a2d2d22f456125d64beda5a6f37273a13d9de0,0.009586,126096.31208458116,20132.941002997377,146229.25308757855
23,0x7c1c1c2de344dcdd7db65e5d52c5e1ea862c6139,0.009586,72383.2257878747,20132.941002997377,92516.16679087208
24,0x8894e499d6359f3a7955736794ca9a0d536109be,0.009511,23323.59077378955,19975.42268720092,43299.01346099047
25,0x1de6938d9f9ebd43d0cc56f0cef1657d954c9a94,0.009435,123488.20706891907,19815.80412719385,143304.01119611293
26,0x7e59df833869e2997d05e163d6004f3344a052fa,0.009282,121462.7110845199,19494.466762969085,140957.177847489
27,lightclient.eth (0x0000006916a87b82333f4245046623b23794c65c),0.009282,121462.7110845199,19494.466762969085,140957.177847489
28,0xf5441a1b900a1d93e4c06cb9c3fdba39f01469f0,0.009282,121146.31002715115,19494.466762969085,140640.77679012023
29,shemnon.eth (0xa87922d0074bcd82ac82816633cce68472548955),0.009204,119157.48796230293,19330.647714540773,138488.1356768437
30,0x05618d6effe2e522f07b1db692d47a68bfd6ffea,0.009126,118753.35846941479,19166.828666112462,137920.18713552726
31,0x75c7f1f73305bcf9f91222eff570d9c3c423e405,0.008887,8971.210486552813,18664.87029977443,27636.080786327242
33,0x4b3105e9ec2b6069c1362388d429625a026f43e0,0.008806,113817.14840296656,18494.750518714256,132311.8989216808
34,mobile.carlbeek.eth (0xd20beba9efa30fb34af93af5c91c9a4d6854eac4),0.008806,113817.14840296656,18494.750518714256,132311.8989216808
32,0xdc871d2c0f92de79e5c1daaedda1372e774f2eb6,0.008806,8889.44295539373,18494.750518714256,27384.193474107986
35,0x6b29132ea388a308578c1d3be068d0e4fc9915a2,0.008724,112550.16388495824,18322.53049344347,130872.6943784017
36,0x50d5e44700c10873875b4e75c4c9396562d83be1,0.008724,112550.16388495821,18322.53049344347,130872.69437840168
37,0x24113ffb07189d1e6e169025a424b58c29522972,0.008641,111266.31909807585,18148.210223962058,129414.52932203791
38,0x6e22a5e30088c8389dc725bbead5f0675334299f,0.008388,107328.90825937215,17616.848438675355,124945.75669804751
40,0x10ab73aa48d686b7fd9ec9d50418a14dd23f6631,0.008302,106109.28372381021,17436.22743656209,123545.51116037229
39,rozmej.eth (0xd4a3030b5f5e8dd4860d370c17e8576ae9951a2d),0.008302,105979.25834896605,17436.22743656209,123415.48578552814
42,0x799681f9b9d7c55ed59f5a0f235cab132cde0a2b,0.008127,103233.70864550586,17068.6846997037,120302.39334520957
43,ansgar.eth (0xb7a593ec62dc447eef23ea0e0b4d5144ac75abc5),0.008127,103233.70864550586,17068.6846997037,120302.39334520957
41,0x004f67dabb603aaa58ed52641ccaff09c559704a,0.008127,60228.487477829745,17068.6846997037,77297.17217753344
46,sans.eth (0xe05875f287c028901798ac2dc8c22ba908b8ef36),0.007949,100785.75827307247,16694.84123021345,117480.59950328592
45,0xa29576f07eaad050aeacbc89ac0518b62fe2f88e,0.007949,100411.31516259354,16694.84123021345,117106.156392807
44,0x80bb92f389591d353654ac5580baeff7d0d6e778,0.007949,58724.70234778807,16694.84123021345,75419.54357800153
47,0x92699d64c65c435d4a60e2ceeaeb931db8b1ca09,0.007858,98968.31291239215,16503.719007047086,115472.03191943924
48,0x50b6a164ca5673bc6c5bf5e6d9f31587180bf8e7,0.007766,7839.588234338826,16310.496539670105,24150.08477400893
49,vdwijden.eth (0x46cd90445349e64f895c403c23839e79eb4065e4),0.007579,94512.12005298407,15917.75087228428,110429.87092526835
50,0xc6ca7c3427ad6b7a06fbed6d18c394e540e31814,0.007483,92975.94514491135,15716.12742806482,108692.07257297618
51,0xf363c519f91e823184061e5bf28263262e2b9b8d,0.007387,60187.83067147718,15514.50398384536,75702.33465532254
52,0x49aa00072a7ba8a5639c43fe9f6536820e6f5d57,0.007289,90239.31571848504,15308.68005120466,105547.9957696897
53,rkapka.eth (0xa1d76553266fa8ed3d143794a462aafadfc34f74),0.007190,88207.2437852602,15100.755874353341,103307.99965961355
54,tkstanczak.eth (0xbc11295936aa79d594139de1b2e12629414f3bdb),0.007089,97907.68564268803,14888.631209080782,112796.3168517688
55,0xb721c2e6640d963e99b37b6437abaf6914a25a5e,0.006987,85315.37896511256,14674.406299597607,99989.78526471017
57,0x644177f8d79117c2b9c7596527642b3c2d05888e,0.006987,84879.44112832467,14674.406299597607,99553.84742792229
56,0x9915c453cc779109013f1af0c4639277e8257212,0.006987,82039.8532057379,14674.406299597607,96714.25950533552
58,prestonvanloon.eth (0xf71e9c766cdf169edfbe2749490943c1dc6b8a55),0.006936,115322.0170272753,14567.293844856018,129889.31087213132
59,rauljordan.eth (0x3ed7bf997b7a91e9e8ab9ee2f7ce983bd37d6392),0.006936,115322.0170272753,14567.293844856018,129889.31087213132
60,0xff9977fb117a22254a8eb6c6ce8d3dd671fa70dc,0.006936,91334.65790230561,14567.293844856018,105901.95174716163
61,0xbc349d1beee33c61f0395d1667e70056b4c869b9,0.006884,83160.48322638078,14458.08114590381,97618.56437228459
62,0xc152fd31f285f6c0b3807070280595e7ea713a7f,0.006779,81858.0602960732,14237.555503788775,96095.61579986199
64,0xab96014a7c078f09418cf899bf197cadff023c16,0.006672,116713.40581725832,14012.829373252502,130726.23519051082
63,0x4d5083dd10f2a46f26f5583c6679f9f8d30ae850,0.006672,78355.88431247424,14012.829373252502,92368.71368572675
65,0xcb8dc3bec7b659022ae0d3e9de17322f31e4aa7c,0.006563,77776.04028439589,13783.90275429499,91559.94303869088
66,q9f.eth (0xe611a720778a5f6723d6b4866f84828504657181),0.006563,49403.46322902173,13783.90275429499,63187.36598331672
67,0x86f34d8b98171281ab8bfe65c7e2718e4f002e35,0.006508,113432.12482234235,13668.389322710924,127100.51414505327
70,0x2bf7b04f143602692bbdc3ecbea68c2c65278eee,0.006453,75892.87833397152,13552.875891126858,89445.75422509837
69,0x84f678a3e7ba8fc817c32ff10884d6fb20976114,0.006453,74561.61342283379,13552.875891126858,88114.48931396064
68,0x5ac41b7e73680a3e77b941fee0bad04f59c9bb7d,0.006453,67504.85036100002,13552.875891126858,81057.72625212687
71,0x0b916095200313900104bacfc288462682c38700,0.006341,74448.5521451817,13317.648539537488,87766.2006847192
73,kaseyk.eth (0xf0443945ad3be9645382fc2537317da97feff3a9),0.006226,72470.06405385528,13076.120455316259,85546.18450917154
72,0x0760e844e6f368ce73f1eeb917d37db19375de3b,0.006226,72149.13035729878,13076.120455316259,85225.25081261504
74,0x50122a5509f628e901f9c0238f0168833753239b,0.006226,71969.83220882951,13076.120455316259,85045.95266414576
75,0x10c8597a5063a1648ffe13f54e996ba9bb3217b5,0.006226,71969.83220882951,13076.120455316259,85045.95266414576
76,asanso.eth (0x153affb96fcb60085ee307996bdd2df0183a3682),0.006110,69920.6433748657,12832.49212688441,82753.1355017501
78,0x2d56cd519540be541a3261e22e95d6507f5504ca,0.006110,66639.906167537,12832.49212688441,79472.39829442141
77,0x3210287ddee6ece40d17a1f39799239b972a81f2,0.006110,63428.42135797869,12832.49212688441,76260.9134848631
81,matilote.eth (0x71c15691e243be88220957c784053ef0e084440b),0.005991,90162.85158789926,12582.563065820705,102745.41465371997
85,0x5abade91ed4b6d11b666280cacb3e4a32898f39b,0.005991,68893.252100577,12582.563065820705,81475.8151663977
82,0x980a85ba6c2683e3509752dd3b4eb50165c0e65f,0.005991,68332.65552025776,12582.563065820705,80915.21858607847
84,robocopsgonemad.eth (0x78ac9c2545850bedbc076eb30ce7a6f0d74b395e),0.005991,68332.65552025776,12582.563065820705,80915.21858607847
79,0x2fb858991668840ce34f331402e0b3c66db078af,0.005991,67997.13392840324,12582.563065820705,80579.69699422395
83,0x661b81d462d80786c442774f452464a8c627a20e,0.005991,67810.99233915268,12582.563065820705,80393.55540497339
80,0xb7b93e217dd4e6e700e7362cb234d6258438d3b7,0.005991,41768.83710827141,12582.563065820705,54351.40017409211
88,ogenev.eth (0xe2a296b3d3ad4212b6030442e70419ff7b82fee4),0.005870,66161.59201192512,12328.43351633576,78490.02552826089
86,0x0906eb682c6d12edbe5e0a43e60068e1a7f8bea3,0.005870,65624.03415298216,12328.43351633576,77952.46766931792
89,0x00cdd7fc085c86d000c0d54b3ca6fe83a8a806e5,0.005870,65624.03415298216,12328.43351633576,77952.46766931792
90,0xc66efccb88b3b7bde6fc476d8cf139dd38075ad7,0.005870,65624.03415298216,12328.43351633576,77952.46766931792
87,divergent-labs.eth (0x9e7fa612eb6e771b0e918d94a0d524d6666fa07e),0.005870,59752.15084246098,12328.43351633576,72080.58435879674
91,0xfbd00109886216bfbb0570e28fac905a4ed7ac26,0.005870,26643.08534194976,12328.43351633576,38971.51885828552
93,0xed46bffd4b8237a9c7e08f55f0b410544f989813,0.005747,63905.46180231447,12070.103478429577,75975.56528074405
96,0xeb8e7c90014565eed8126110630efa2d9cd6ebe4,0.005747,63355.46193873244,12070.103478429577,75425.56541716203
94,scottypoi.eth (0x3d5d2ac4fecf16bb1651a445d5b17f977a823546),0.005747,63355.46193873244,12070.103478429577,75425.56541716203
95,peterdavies.eth (0x975d1040e93316917bd67dd32a02e1929f8af8d3),0.005747,63355.46193873244,12070.103478429577,75425.56541716203
92,jameshe.eth (0x046fb65722e7b2455012bfebf6177f1d2e9738d9),0.005747,61687.23654726188,12070.103478429577,73757.34002569146
98,0x4bfa4639cc1f4554122abb930aa897cdae90d13b,0.005620,61559.03313420998,11803.372463680915,73362.4055978909
97,zacahuil.eth (0x8360470f1793c91c953be453fca52cc63dfcb367),0.005620,60992.42329590376,11803.372463680915,72795.79575958468
99,0xd31461d449fbfb88dd8d4e7d8fccf79389f671e9,0.005620,38400.52349325809,11803.372463680915,50203.895956939006
100,gezero.eth (0xfbbeca029104953f039537a111d07a6ac0549c3c),0.005491,58521.75770649144,11532.440960511014,70054.19866700245
101,0x9b796f2de75772f1634d78a3ab23a03778d3702a,0.005491,58521.75770649144,11532.440960511014,70054.19866700245
103,0x530eca5d32c1bf2865327df76f6dbc73dea1af5c,0.005359,51551.802805856765,11255.208724709257,62807.01153056602
102,jacobkaufmann.eth (0x66ee965ffc43d985633d04a044b47b7ba8952ee1),0.005359,51551.80280585674,11255.208724709257,62807.011530566
105,0x5e5ef2c688e6ce34a1d4b4771780716fe06848fa,0.005223,49268.70554061427,10969.575512065021,60238.28105267929
104,0xc627a07f25c61244e0c72a2bcf52014015f469ff,0.005223,5272.491546220919,10969.575512065021,16242.06705828594
106,0x925f5d6ccdb04f56fba1cdcad92e4ebb0d421411,0.005154,84644.06249032603,10824.658661532283,95468.72115185832
107,0x232e6c4eb0882fcf92865dc1de98bce2a56b6553,0.005084,11993.408152151062,10677.641566788927,22671.04971893999
108,0x88cc2a9882dd3462702e56df1b438fac6e203d4a,0.004941,31990.958232333076,10377.306644670356,42368.26487700343
109,0xc5a004f720fb103bd6eb5de362115eb4986f635e,0.004941,31387.388414197438,10377.306644670356,41764.695058867794
110,0xe1d0a84957b652f36769340c38944f1b97cf3e5e,0.004793,30538.62018671864,10066.470501498688,40605.09068821733
111,0x7cc3e83cd74df93fcc879ec7c905635ee6a6c233,0.004641,11072.64431794548,9747.233381484542,20819.87769943002
112,0x5869c17c8934ce9f674e88c7d4f8f94dce193fcb,0.004563,53664.86431470384,9583.414333056231,63248.27864776007
116,0x456287fcc918525d664bb4f62c084be4e85d019b,0.004484,19572.72275850603,9417.4950404173,28990.217798923328
113,0xf1df831ef8dea686508bb27252ea86f72c012181,0.004484,10663.686701499417,9417.4950404173,20081.181741916716
115,0x2ff65b929e7f3329e493501221e3c0c464667db2,0.004484,10663.686701499417,9417.4950404173,20081.181741916716
114,0x3b864e8588eb3c1c84169aed272dae21734b93ca,0.004484,4526.489008855948,9417.4950404173,13943.984049273247
119,0x88dcc684da24fd0aae0770dfa2223e7b7476ad94,0.004320,44852.545973080945,9073.05498987572,53925.60096295667
118,0xa1506f8dc05b1c22ba23cbfd4625c68599196e91,0.004320,41531.35736429124,9073.05498987572,50604.412354166954
121,0x2d87c6679968a3a15b9b984a5d2c2ece4b9cc7dc,0.004320,17819.599229205654,9073.05498987572,26892.654219081374
117,0xef458c3fbc811912340d23ac5541839c7a7f3b08,0.004320,17819.599229205654,9073.05498987572,26892.654219081374
120,0xf67c7315391f9712bf04cfb8a72d450f42f9f576,0.004320,4360.934995151135,9073.05498987572,13433.989985026856
122,0xab8b3647ef7ff66d2f38ee5eaef2b158c4eb52a2,0.004237,48316.99643017683,8898.734720394314,57215.73115057114
123,0x784b5955fe452c67be9c2f594c73c284f55771e7,0.004151,16780.141497342545,8718.113718281045,25498.25521562359
124,0x5baf47751b4eee90d7f9fd5eb75c3ad4162421e4,0.004151,16780.141497342545,8718.113718281045,25498.25521562359
125,0xb61384c05086576ebd647c9217ce0765bd748ba1,0.004151,16780.141497342545,8718.113718281045,25498.25521562359
126,0xc9187b5c81d63b289811a4fcb9ac7adb7103639e,0.004064,44800.06029359871,8535.392471957159,53335.45276555587
128,0x2952c5774fccc6935fe0f44ed57c0e7b4ed94972,0.003974,16601.46429962455,8346.370493001416,24947.834792625967
133,0xa3fd150da53b9b6f65ebb8210552da9d56c32bec,0.003974,9326.27251599646,8346.370493001416,17672.643008997875
132,0x882337880ee78a7d32a069061994f619fd540f6d,0.003974,9326.27251599646,8346.370493001416,17672.643008997875
129,gfukushima.eth (0xeb2fa209be50fae31948822b6afd62292dd2463f),0.003974,9022.423745308048,8346.370493001416,17368.794238309463
130,0x579fc2cd54b0ca848b180bbc8acf45c54982eec5,0.003974,9022.423745308048,8346.370493001416,17368.794238309463
127,0xfed50d730c07a85cec48ac586e0372d7d536eef0,0.003974,4011.656405261716,8346.370493001416,12358.026898263131
131,0x9598cdbe860a1abd8863cfcdf1cfcd3e609c9ea9,0.003974,4011.656405261716,8346.370493001416,12358.026898263131
136,taranpreet.eth (0x3ed9d598b2099d99e9e49b1697729027c67926d2),0.003789,44572.481742614356,7957.82531403683,52530.30705665119
141,jmederos.eth (0x31e4b877b9033fcc355af129fcd387031007bbf0),0.003789,36451.76182921826,7957.82531403683,44409.58714325509
138,0x0cefe7d96642a6a9e2c7e34ec1e431e4206d3a93,0.003789,8835.670742043474,7957.82531403683,16793.496056080305
135,0x27f672013538c9bbbe87eebe6335302f68684def,0.003789,8511.291649011246,7957.82531403683,16469.116963048076
139,0x5e1de79fc192618bbc85e62274b12ad0b48f6b3b,0.003789,8511.291649011246,7957.82531403683,16469.116963048076
134,0x79a05a48f73c34638b716ad06eff5bcea3425084,0.003789,3824.9034019971414,7957.82531403683,11782.728716033971
137,0xf821ec616fb20b8c53c043afe1122e5d4165a335,0.003789,3824.9034019971414,7957.82531403683,11782.728716033971
140,0x552d4145a79ec49ad73cf4aa413d0ebdf7fd0c96,0.003789,3824.9034019971414,7957.82531403683,11782.728716033971
143,0x78fc08517b0e7fd99f10afff5c3e07049cd00989,0.003595,8315.453364506773,7550.3779371766705,15865.831301683444
142,0xfb9c8a2bf86bc81e41a4569b0a2bc6d382b7a0e4,0.003595,7967.8065728182255,7550.3779371766705,15518.184509994895
144,0x48b76905b18c7c80e895bda18061a0e6842794f6,0.003595,7967.8065728182255,7550.3779371766705,15518.184509994895
145,0xde09e76d5a06523a85bedada647aa1a78d99d30c,0.003389,3421.1131246683335,7117.7276297890785,10538.840754457411
146,0x0ad5d1f88a6c27f1ea4e3f45be0f4751bafc26c5,0.003170,3200.0379478308114,6657.774147663434,9857.812095494246
147,0x3d981e55bf4b8be8e0d6545e6ba6a140c2ab206a,0.003170,3200.0379478308114,6657.774147663434,9857.812095494246
148,leobago.eth (0x9fb101bcd5c7baea48e29c45a3f0bd6caaf5709e),0.003170,3200.0379478308114,6657.774147663434,9857.812095494246
149,0x909102b9a0005b92d0091ede42c8016f93151ad2,0.003055,7044.931767298196,6416.246063442205,13461.177830740402
150,smartprogrammer.eth (0x14b44b350d3ae3147937cc7689404e00dbc1dddf),0.002935,6721.228836973949,6164.21675816788,12885.445595141828
151,0x554dcbaf9d1df74c195490d64e37ec0fdfed3c90,0.002810,6388.37246371432,5901.686231840457,12290.058695554777
152,0xddeee68ea512b7e1eb62e8b130ea4f67f94d377c,0.002551,2575.1724936644778,5357.722981290038,7932.8954749545155
-,0x873a45b49289b868e81547c6226357e7117e6070,0.000000,104927.70544757282,0,104927.70544757282
-,0xca186e78bf657d4c5694ca5ca448d3766d2b55bb,0.000000,102277.3664790511,0,102277.3664790511
-,0xe4b99f9580b90d88c3e6dc3e0b853d8d3b0b8b55,0.000000,90054.54904376072,0,90054.54904376072
-,0x88df07c605d13915b8e7d07dc8efd538dc0c5620,0.000000,89667.66392864274,0,89667.66392864274
-,vorot93.eth (0x9d6d3b09f8ac8615805bd82e53b80d956f451cfa),0.000000,81481.19682196631,0,81481.19682196631
-,0x57c5d54f7293cde1fc129e4159cb07f48752ea61,0.000000,81157.31658029268,0,81157.31658029268
-,0x35bc6a44acfb79b5a47c1cbe2fd3c560a093a2b1,0.000000,79831.77166717147,0,79831.77166717147
-,Splits: SplitProxy (0xf8843981e7846945960f53243ca2fd42a579f719),0.000000,69412.52965396811,0,69412.52965396811
-,0x1ecaea79d739bc222d6db2d6bf63f869a329a702,0.000000,65727.91334336398,0,65727.91334336398
-,rolfy.eth (0x65a63cee206bfa6b2a3287479d28c8902b4055e9),0.000000,59784.3889632535,0,59784.3889632535
-,0x77b34f5e620e8cfd1839b245beaadd27ae3a25fb,0.000000,53800.41760477579,0,53800.41760477579
-,0xe35b6f8e759ac242585e2f41ac29a2baaf4c4e96,0.000000,46354.06201140796,0,46354.06201140796
-,samwilsn.eth (0x00d3baf1080b1cfb5897225a21ecdcc25a1f4456),0.000000,43005.22116767613,0,43005.22116767613
-,0xf0869c68b91013bf214db68d503c65f9ba44097c,0.000000,40508.20257936801,0,40508.20257936801
-,dtheo.eth (0xfbfd6fa9f73ac6a058e01259034c28001bef8247),0.000000,38980.94881103242,0,38980.94881103242
-,uzdogan.eth (0x8ce466bd577396786c76da8629314fcce5be2a5f),0.000000,37386.541970643324,0,37386.541970643324
-,0x7777788fb971b414ee0b4422367325151207c836,0.000000,34869.21216164386,0,34869.21216164386
-,0x1e811588786841c713e68c37ef0cf60a967543ef,0.000000,34860.33687850121,0,34860.33687850121
-,0xe8fee6186cbcf0790644d59f04cc5c085fba68bb,0.000000,34201.933074722896,0,34201.933074722896
-,0x384bfe9c770313d13c36f365437ba4c86f7edfa8,0.000000,33185.5597519638,0,33185.5597519638
-,rolfy.eth (0xd55bf29915d139777783bba3ae6237844823b73b),0.000000,28881.178481015264,0,28881.178481015264
-,0x18ded4abf3c0b8ae1108788127f33e02988249da,0.000000,26203.00026071722,0,26203.00026071722
-,0x2a89178555a3e7d19218f28df0b0ec732e889e18,0.000000,26042.155230881297,0,26042.155230881297
-,0x6c1c4f642ab5611a46ee6f3ed95bbf2e3caf4d1c,0.000000,14249.191025941476,0,14249.191025941476
-,0x366a06cba45bc45996a7b6a1b6f22e8c9283b6ea,0.000000,12532.592383458203,0,12532.592383458203
-,0x6f91b7e11d955897aa7394d5b4fc82559fab27b9,0.000000,7323.716579211628,0,7323.716579211628
-,0xefd79dc8c08762156a2b204743e3fc9507f07f4e,0.000000,6492.2220168870335,0,6492.2220168870335
-,0xb7745bde70e429bbd5eb57dfa5ca70b84239477a,0.000000,6189.164130355569,0,6189.164130355569
-,0x22d6637330af1de97a1f67d03a73b99a1e6d2263,0.000000,5536.00327021375,0,5536.00327021375
-,0xf23090ab5773200be3dad33f42c7eb20a14c4a61,0.000000,4152.002452660312,0,4152.002452660312
-,0x6bb11ebdf00ebdfbe707005b506a24fd57d5bd66,0.000000,3914.58887368079,0,3914.58887368079
