ens,ensAddress,fid
dwr.eth,0xD7029BDEa1c17493893AAfE29AAD69EF892B8ff2,3
mircea.eth,0x4685Bb0077179b45095a3C2A175acd9B3Cd59D1c,5
cdixon.eth,0xe11BFCBDd43745d4Aa6f4f18E24aD24f4623af04,25
balajis.eth,0x0916C04994849c676ab2667Ce5bbDF7CcC94310a,37
sriramk.eth,0x78AB747D6675AB1dfeE31D0BfB6862124565AefC,43
dcposch.eth,0xc60A0A0E8bBc32DAC2E03030989AD6BEe45A874D,56
liam.eth,0x2Fe31e981032bfcD71CCE70A4AB5e4214F8b4860,80
jessepollak.eth,0x6e0d9c6dd8a08509bB625CAa35dc61a991406F62,99
perceptive.eth,0xEeFec5734F649Fd1A356894319d3d7393B6b0f8B,108
jasoncrawford.eth,0x4886a82C20BaF3D63A3CECECd36DFcBacdb070A8,159
nickgrossman.eth,0xd3DD62E5ad098d2220E3921d41494fB9754c1BF1,168
fredwilson.eth,0x2Cb5Ae51861A4a6E8568b527cAFC3891317Ac94d,169
derekbrown.eth,0x6b3210caa59c0367EdC0b0e60636dB02A623cE58,193
zconn.eth,0x86c3854CbcF98c8932935d599A98d737C10d8DA2,198
yekim.eth,0xF723d05F10E8503FEaBA5CFBb9A5513Eb8ECbfd6,260
dfmerin.eth,0x282173335ae1F328b34Eb9Acadc052E59E70A89f,262
vrypan.eth,0x93c620D2aF377C6C37e3E3c1d3E065eb04b08aE2,280
evav.eth,0x78d32460D0a53Ac2678e869Eb6b4f6bA9d2Ef360,290
etekis.eth,0x789E8DD02FfCCd7A753B048559d4FBeA1e1a1b7c,294
dimalaba.eth,0xD663594024deE1aC1a72fadB44Bb4BdDCa63BCC9,297
bgrill.eth,0xE7657Ab31a15A0A2E024bA12ab85967FEC4253bc,311
lesgreys.eth,0xfF51cc1519c7a61144d3FF6F883122f150752445,312
shotbydanni.eth,0xA4714E6CE23fD4da2Df09Fc125A21C69d68D779f,340
corbin.eth,0x869eC00FA1DC112917c781942Cc01c68521c415e,358
